ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,MViolation,MViolation_Time_1,MViolation_Time_2,MViolation_Time_3,MViolation_Time_4,Conform,Conform_time_1,Conform_time_2,Conform_time_3,Conform_time_4,Malfunction,Malfunction_time_1,Malfunction_time_2,Malfunction_time_3,Malfunction_time_4,Agent_rel_1,Agent_rel_2,Agent_cause_1,Agent_cause_2,Object_Rel_1,Object_Rel_2,Object_cause_1,Object_cause_2,Control1_1_1,Control1_1_2,Control1_2_1,Control1_2_2,Control2_1_1,Control2_1_2,Control2_2_1,Control2_2_2,Control3_1_1,Control3_1_2,Control3_2_1,Control3_2_2,probability_4,morality,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BR-FL_15,DO-BR-FL_22,DO-BL-AgentQuestions,DO-BL-ObjectQuestions,DO-Q-MViolation,DO-Q-Conform,DO-Q-Object_Rel,DO-Q-Agent_rel,LocationLatitude,LocationLongitude,LocationAccuracy
R_3lrgskYFuAO2iGX,Default Response Set,Anonymous,,,209.222.18.75,0,10/7/2016 17:27,10/7/2016 17:32,1,1,1,1,,,,,,1,0,0,90.517,0,,,,,,1,1,1,1,,,,,1,,1,,1,,1,,1,1,1,1,100,9,1,32,2,,,,,1,,,Norm conforming,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,40.41690063,-74.25789642,-1
R_3ozFXWRXccGprsy,Default Response Set,Anonymous,,,74.42.134.198,0,10/7/2016 17:28,10/7/2016 17:32,1,1,1,1,,,,,,,,,,,1,0,0,50.883,0,,,,,2,1,,1,,1,1,,1,1,1,,1,1,1,1,99,9,1,24,2,,,,,,,,Malfunction,Object Questions,,Object_cause|Object_Rel,,,1|2,,44.62719727,-93.1167984,-1
R_TuvQs3vAUmZYDmN,Default Response Set,Anonymous,,,76.89.152.238,0,10/7/2016 17:23,10/7/2016 17:32,1,1,1,1,1,2.242,2.242,2.987,1,,,,,,,,,,,,,,,1,1,1,1,1,,1,,1,,1,,,1,1,1,34,7,1,24,2,,1,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,1|2,,34.22979736,-118.5995026,-1
R_ueNDp5HzEVbVaRb,Default Response Set,Anonymous,,,23.240.130.235,0,10/7/2016 17:28,10/7/2016 17:32,1,1,1,1,1,0,0,103.962,0,,,,,,,,,,,,,,,2,2,,1,1,,1,,1,,1,,,1,1,1,50,10,1,27,2,,,,,1,,,Moral norm violation,Object Questions,,Object_Rel|Object_cause,,,2|1,,34.19799805,-119.1725998,-1
R_1hYFR05IxAas5Ek,Default Response Set,Anonymous,,,75.69.163.37,0,10/7/2016 17:30,10/7/2016 17:32,1,1,1,1,,,,,,,,,,,1,4.8,5.201,14.847,2,1,2,1,,,,,,,1,1,,,1,1,,1,1,1,1,94,9,2,30,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,2|1,41.76829529,-70.60070038,-1
R_xgrRTV9BOxnAICZ,Default Response Set,Anonymous,,,172.15.229.101,0,10/7/2016 17:30,10/7/2016 17:33,1,1,1,1,1,0,0,68.863,0,,,,,,,,,,,,,,,2,2,1,1,1,,1,,1,,1,,,1,1,,71,6,2,69,2,,,,,1,,,Moral norm violation,Object Questions,,Object_cause|Object_Rel,,,1|2,,29.58129883,-95.02729797,-1
R_2X1FvbVOVHPiUW4,Default Response Set,Anonymous,,,71.230.37.237,0,10/7/2016 17:30,10/7/2016 17:34,1,1,1,1,,,,,,,,,,,1,0,0,60.598,0,1,1,,1,,,,,1,1,1,,1,1,1,,1,1,1,1,,8,2,34,2,,,,,1,,,Malfunction,Agent Questions,Agent_rel|Agent_cause,,,,,1|2,40.03959656,-75.42250061,-1
R_31nJ9nL9GZqfVSO,Default Response Set,Anonymous,,,47.48.228.242,0,10/7/2016 17:29,10/7/2016 17:35,1,1,1,1,,,,,,,,,,,1,2.082,106.023,111.044,8,,,,,1,1,,1,,1,1,,1,1,1,,1,1,1,1,90,10,2,31,2,,1,,,,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,2|1,,33.55470276,-84.18720245,-1
R_2QAtXMHNeUC4AWx,Default Response Set,Anonymous,,,66.74.2.15,0,10/7/2016 17:29,10/7/2016 17:35,1,1,1,1,1,0,0,91.41,0,,,,,,,,,,,2,1,1,1,,,,,1,,1,,1,,1,,,1,1,1,73,9,2,59,2,,,,,1,,,Moral norm violation,Agent Questions,Agent_cause|Agent_rel,,,,,2|1,33.81480408,-116.6515961,-1
R_3sh2r81dldn8ieG,Default Response Set,Anonymous,,,172.113.3.42,0,10/7/2016 17:33,10/7/2016 17:35,1,1,1,1,,,,,,,,,,,1,0,0,42.013,0,,,,,2,1,,1,1,1,1,,1,1,1,,1,1,1,1,100,10,2,31,2,,,,,1,,,Malfunction,Object Questions,,Object_Rel|Object_cause,,,1|2,,34.06140137,-117.1734009,-1
